indi;area km²
Guasuti;0,13
Tadarimana;2,38
Maranduba;0,61
Uty-Xunaty;4,22
Sucuriy;0,72
Taego Ãwa;37,69
Parabubure;28,97
Karajá Santana do Araguaia;0,17
Jaguari;0,00
Bacurizinho;41,57
Pirineus de Souza;0,69
Ofayé-Xavante;0,09
Las Casas;17,07
Caxixó;2,99
Krenyê;28,20
Parque do Araguaia;55,31
Karajá de Aruanã III;0,59
Rancho Jacaré;0,00
São Domingos - MT;4,74
Rio Formoso;2,79
Juininha;0,20
Buriti;16,75
Tirecatinga;11,88
Santana;3,90
Dourados-Amambaipeguá I;0,99
Porquinhos;7,57
Jarudore;0,51
Aldeia Limão Verde;0,16
Pirakua;2,27
Pimentel Barbosa;20,66
Buritizinho;0,00
Xakriabá Rancharia;0,03
Karajá de Aruanã II;0,02
Potrero Guaçu;0,00
Amambai;0,00
Tereza Cristina;2,99
Tapirapé/Karajá;1,71
Carretão I;7,12
Carretão II;0,18
Pirajuí;0,07
Bacurizinho;221,54
Arroio-Korá;0,03
Estivadinho;0,37
Nossa Senhora de Fátima;0,29
Kanela;14,02
Utiariti;110,55
Taunay/Ipegue;21,75
Xacriabá;12,64
Morro Branco;0,34
Marechal Rondon;6,30
Umutina;0,01
Cana Brava/Guajajara;97,19
Menkü;65,21
São Marcos - MT;3,40
Areões;84,01
Xerente;15,23
Governador;10,73
Dourados;0,00
Chão Preto;0,84
Kraolandia;7,81
Sangradouro/Volta Grande;11,20
Nambikwara;11,83
Maraiwatsede;46,30
Krahó-Kanela;5,87
Iguatemipegua I;1,56
Geralda Toco Preto;0,03
Ponte de Pedra;20,07
Vale do Guaporé;0,35
Kadiwéu;13,15
Taunay/Ipegue;5,65
Lagoa Comprida;16,04
Karajá de Aruanã I;0,00
Parque do Aripuanã;1,93
Caarapó;1,11
Porquinhos dos Canela-Apãnjekra;284,11
Taihantesu;0,06
Nioaque;3,54
Lalima;1,15
Apinayé;11,89
Arariboia;20,53
Figueiras;0,00
Ñande Ru Marangatu;14,68
Ofayé-Xavante;0,16
Buriti;1,90
Cachoeirinha;53,09
Merure;2,30
Menkü;0,94
Xacriabá;19,13
Ubawawe;5,00
Krikati;81,61
Urucu/Juruá;8,13
Pilad Rebuá;0,50
Guaimbé;0,08
Sete Cerros;0,49
Irantxe;10,38
Urubu Branco;3,77
Utaria Wyhyna/Iròdu Iràna;2,44
Bakairi;76,48
Avá-Canoeiro;1,99
Taquaperi;0,12
Manoki;10,54
Inawebohona;26,69
Ypoi/Triunfo;0,74
Jatayvari;1,31
Rodeador;3,38
Cacique Fontoura;13,06
Funil;2,99
Limão Verde;4,30
Uirapuru;54,65
Muã Mimatxi (Fazenda Modelo Diniz);0,00
Enawenê-Nawê;19,64
Krenrehé;3,04
Estação Parecis;0,26
Wedezé;150,55
Takuaraty/Yvykuarusu;0,00
Kanela Memortumré;98,20
Paresi;97,24
Cachoeirinha;4,51
