consunit;area km²
APA Águas Claras;4,12
RPPN Santuário das Pedras;0,00
Floresta Nacional de Palmares;0,06
APA João Leite;81,52
Arie do Córrego Mato Grande;0,03
Parque Nacional Cavernas do Peruaçu;6,98
APA Vargem das Flores;3,49
Parque Estadual Serra Nova E Talhado;15,90
RPPN Bico do Javaés;0,96
APA Cochá E Gibão;319,30
RPPN Cachoeiras do São Bento;0,22
RPPN Fazenda Lageado;5,66
Parque Natural Municipal Senhorinha Lemos do Prado;0,01
Reserva de Desenvolvimento Sustentável Nascentes Geraizeiras;19,70
APA Carste da Lagoa Santa;30,91
Reserva Extrativista  do Recanto das Araras de Terra Ronca;4,05
Apa Rio Batalha;7,46
Reserva de Desenvolvimento Sustentável Veredas do Acari;38,92
RPPN São Bartolomeu;0,00
Arie Paranoá Sul;0,02
APA do Fanha;0,84
Reserva Extrativista Marinha do Delta do Parnaiba;0,60
APA da Bacia do Rio São Bartolomeu;84,79
RPPN Joaquim Theodoro de Moraes;0,00
Reserva Extrativista do Ciriáco;0,03
RPPN Reserva Fazenda Bonito de Cima Iii;0,00
Floresta Nacional de Brasília;1,91
Parque Estadual Serra Verde;0,06
Parque Estadual Cerca Grande;0,03
Floresta Estadual do Araguaia;20,82
APA Serra Geral de Goiás;55,62
RPPN Fazenda Calixto;0,00
Refúgio de Vida Silvestre da Mata Seca;0,00
RPPN Cara da Onça;0,00
Monumento Natural Experiência da Jaguara;0,07
RPPN Pau Terra;0,00
Parque Estadual Altamiro de Moura Pacheco;1,34
Parque Estadual Serra do Sobrado;0,12
Parque Nacional da Serra do Cipó;0,15
RPPN Reserva Fazenda Bonito de Cima Ii;0,00
Monumento Natural Estadual Várzea do Lageado E Serra do Raio;0,19
APA das Nascentes do Rio Vermelho;390,60
RPPN Reserva Fazenda Bonito de Cima Vi;0,00
Parque Nacional das Nascentes do Rio Parnaiba;48,48
Reserva Biológica do Rio Descoberto;0,06
Monumento Natural Estadual Gruta Rei do Mato;0,07
Reserva Extrativista da Baía do Tubarão;1,11
Floresta Nacional de Paraopeba;0,03
Parque Natural Municipal Zabele;0,00
APA Ilha do Bananal/Cantão;4.975,47
RPPN Capão das Éguas;0,00
APA da Bacia do Rio Descoberto;21,36
RPPN Sonhada;0,00
RPPN Vila Amanda;0,01
Monumento Natural Estadual de Santo Antônio;0,02
Monumento Natural do Conjunto Espeleológico do Morro da Pedreira;0,00
Parque Estadual do Sumidouro;1,19
Monumento Natural Canyons E Corredeiras do Rio Sono;0,11
RPPN Duas Pedras;0,40
Parque Estadual Pico do Itambé;0,05
